ID,AGENCY,TITLE OF REQUESTED DOCUMENTS,STATUS
1,DOH,Hospital data at National Center for Mental Health,CLOSED
2,DOH,The number of mental health patients admitted in mental health institutions,DENIED
3,DOH,Data related to mental health,CLOSED
4,DOH,"The number of teenagers affected with mental health disorders: depression, panic, anxiety",CLOSED
5,DOH,Mental Health Services and Programs Available to the Public,PARTIALLY SUCCESSFUL
6,DOH,Mental Health Care Facilities in Quezon City,SUCCESSFUL
7,DOH,The statistics of mental health related cases in NCR,SUCCESSFUL
8,DOH,Floor Plans/Site Development Plans of Public Mental Health Facilities in the Philippines,DENIED
9,DOH,Healthcare Providers of Local Government Units who have undergone trainings on mental health,PARTIALLY SUCCESSFUL
10,DOH,List of Community based Mental Health Programs,SUCCESSFUL
11,DOH,Government-led Community-based Mental Health programs in the Philippines,SUCCESSFUL
12,DOH,IRR OF MENTAL HEALTH ACT OR R.A. 11036,SUCCESSFUL
13,DOH,Mental health design guidlines,SUCCESSFUL
14,DOH,Mental Health initiatives,SUCCESSFUL
15,DOH,Statistics/Data on Mental Health in Region 8,PARTIALLY SUCCESSFUL
16,DOH,Project Status of the Planned Modernization of the National Center for Mental Health,SUCCESSFUL
17,DOH,Data and Statistics related to Mental Health,SUCCESSFUL
18,DOH,Design Guidelines for Mental Health Facilities,SUCCESSFUL
19,DOH,Data on statistics of Filipinos diagnosed with Mental Health Issues,DENIED
20,DOH,Number of reported dengue cases in Cebu Province,DENIED
21,DOH,Number of reported dengue cases in the Philippines,SUCCESSFUL
22,DOH,"The number of reported dengue cases (ages 0-4) in the different barangays in Mandaue City, Cebu",CLOSED
23,DOH,"The number of reported dengue cases in Calauan, Laguna and Victoria, Laguna",CLOSED
24,DOH,Number of Dengue Case in Zamboanga City,SUCCESSFUL
25,DOH,Recent Update on the number of dengue cases and deaths,SUCCESSFUL
26,DOH,Weekly reported dengue cases in Quezon City,DENIED
27,DOH,The number of Public and Private Hospitals per province (2010 and 2013),SUCCESSFUL
28,DOH,Request for the list of Government and Private Hospitals in Zamboanga del Norte,SUCCESSFUL
29,DOH,Private Hospitals Morbidity Statistics,DENIED
30,DOH,The turnover rate of nurses in the Philippines (public and private hospitals),DENIED
31,DOH,List of Public and Private Hospitals in the Philippines 2019,DENIED
